case_id,base_fixture_path,fixture_raw_sha256,max_length,canonical_input_sha256,exit_code,stdout_sha256,status,primary_classification,legacy_cutoff,oracle_cutoff,full_target_tokens,retained_target_tokens,supervised_target_tokens,truncated_target_tokens,prompt_leakage_positions,cross_boundary_positions,elimination_causes,indeterminate_reasons
aligned,fixtures/token-boundary/aligned.v1.json,47564f771516691fbe5fe8b2d55bc5c945ad383714c92d878830d82d84e7801f,2,8e5311899613fab09499bb5b11540518d1bd31f2197f064d293af60ef0e86c4a,1,71121b26432a3963a8e2e462cb6b35ede287996054fae670729fea5f88297cba,fail,target_eliminated,2,,2,0,0,2,,,truncation,
aligned,fixtures/token-boundary/aligned.v1.json,47564f771516691fbe5fe8b2d55bc5c945ad383714c92d878830d82d84e7801f,3,82fa3efde0bd1630b1718a4fbe1c6343e1b3794937d18864e276148b51264ca4,1,120301b35589ce020e1a4bee88a18db83b8a0a79a994922c23a0ba4252912208,fail,partial_target_truncation,2,2,2,1,1,1,,,,
aligned,fixtures/token-boundary/aligned.v1.json,47564f771516691fbe5fe8b2d55bc5c945ad383714c92d878830d82d84e7801f,4,ad117d463d42719685b643cbcd1ff0f07adc461e7785e95b4d057a82f96ea733,0,60733bf69f4cdc1d1f9f95856ae23c7d3390610c1dbcf13811805042f1c40f87,pass,aligned,2,2,2,2,2,0,,,,
aligned,fixtures/token-boundary/aligned.v1.json,47564f771516691fbe5fe8b2d55bc5c945ad383714c92d878830d82d84e7801f,5,66fe6ed4e8a2d3fee5c91076602ad43a66d2785f7093929c0a71b30ed0417537,0,61b0f28739d7c43e99b8fe2bb473761ad8f25ec58b08f64054d9e04505bfce18,pass,aligned,2,2,2,2,2,0,,,,
aligned,fixtures/token-boundary/aligned.v1.json,47564f771516691fbe5fe8b2d55bc5c945ad383714c92d878830d82d84e7801f,6,84e95a5c9113be3853edd3b3633e2bd7d3c88fd37dc333b3adf6b333a318a27e,0,2ae5735789f9d8ecd8fc450697def20244b11bfacde6825adf3945e30293064e,pass,aligned,2,2,2,2,2,0,,,,
aligned,fixtures/token-boundary/aligned.v1.json,47564f771516691fbe5fe8b2d55bc5c945ad383714c92d878830d82d84e7801f,7,5f755d8de1ca76eb3276df959aa94cc53f1ad3a0661f19e7535fdc8fae943bb4,0,12150e36e117b1348f0f5c179740a33dd6d665dff85fe930315828159ddaaac8,pass,aligned,2,2,2,2,2,0,,,,
aligned,fixtures/token-boundary/aligned.v1.json,47564f771516691fbe5fe8b2d55bc5c945ad383714c92d878830d82d84e7801f,8,0420859da2f88bf5cef15f33bef51dfef928d4870fde1fdd6ab353703e6aa103,0,49f851a6d89d25d5aee9d8b68548883dfbc2962a5610e9b55c2dfde176ac6d76,pass,aligned,2,2,2,2,2,0,,,,
aligned,fixtures/token-boundary/aligned.v1.json,47564f771516691fbe5fe8b2d55bc5c945ad383714c92d878830d82d84e7801f,9,263b686df8563e35a4fa3c45e8873bcd6059e2cb160d3497f851d256da55317d,0,feaa1c09974cc93bb116e214f528a9cade080f8d00367c66b5fa66cd42cf9c26,pass,aligned,2,2,2,2,2,0,,,,
merge-cross-boundary,fixtures/token-boundary/merge-cross-boundary.v1.json,4c0ddbc30422e085ca8edf0aed09ffeda4a186c97029ad0ee31253bd74db3c97,2,d9bbf3e9e5bcb7213f47f95538e521f7500f91c09d6a81142021753e421afc43,1,6e65654ccc4ab2e86d8f46b8beebc46c1c8229aa848cdef05bfd8a0ee838f27d,fail,cross_boundary_token,2,,0,0,0,0,,1,,
merge-cross-boundary,fixtures/token-boundary/merge-cross-boundary.v1.json,4c0ddbc30422e085ca8edf0aed09ffeda4a186c97029ad0ee31253bd74db3c97,3,26dabd8af3dd54cab7944ad179651a51ee5977f3673f4a4663cdcd04e8993d30,1,dcd88655a50ffe18a9476fc8dcf52e3779ecad3b208d7eddbc03f67e47d37ebb,fail,cross_boundary_token,2,,0,0,0,0,,1,,
merge-cross-boundary,fixtures/token-boundary/merge-cross-boundary.v1.json,4c0ddbc30422e085ca8edf0aed09ffeda4a186c97029ad0ee31253bd74db3c97,4,7dce8862cc645ed653df00324c3aeb5154443e440796af827101227c396274be,1,17cd67de3d0bde7a751675aac9a3806f68fb605a104b411829833045d35fb88c,fail,cross_boundary_token,2,,0,0,0,0,,1,,
merge-cross-boundary,fixtures/token-boundary/merge-cross-boundary.v1.json,4c0ddbc30422e085ca8edf0aed09ffeda4a186c97029ad0ee31253bd74db3c97,5,26061c826d00f95e2b1bf80031c194679667169a5891a1beb51b2e5cd0d248ac,1,be68751a276f06d87a6b61c29c21365f9c6d1c5ab12d80613fdd1bfc46f3074d,fail,cross_boundary_token,2,,0,0,0,0,,1,,
merge-cross-boundary,fixtures/token-boundary/merge-cross-boundary.v1.json,4c0ddbc30422e085ca8edf0aed09ffeda4a186c97029ad0ee31253bd74db3c97,6,24542ab18025aa814971aac51caf1a981a00064ceaeefa30993a71f6d03c5317,1,88c9d74165df30d08b0c07c9ebcbd9c52d10e9fced78f3174b1ab43ee7bab09a,fail,cross_boundary_token,2,,0,0,0,0,,1,,
merge-cross-boundary,fixtures/token-boundary/merge-cross-boundary.v1.json,4c0ddbc30422e085ca8edf0aed09ffeda4a186c97029ad0ee31253bd74db3c97,7,4927d4724170bd6df8be8fc2915975ebdc5c4b83bb924054c7b0cca012d5b04b,1,b07bd11aadc36d083dca734a20cb9e2bada28c0471079ba251f3977157219547,fail,cross_boundary_token,2,,0,0,0,0,,1,,
merge-cross-boundary,fixtures/token-boundary/merge-cross-boundary.v1.json,4c0ddbc30422e085ca8edf0aed09ffeda4a186c97029ad0ee31253bd74db3c97,8,9d045174341cdb5836d41590b4733e7844e1977f065a8d9f5a93a1283c888cd2,1,b4c7364274c4c0f43c70db7b8b3e852cc4d4fbefeefd0d77ff60d7eef460721b,fail,cross_boundary_token,2,,0,0,0,0,,1,,
merge-cross-boundary,fixtures/token-boundary/merge-cross-boundary.v1.json,4c0ddbc30422e085ca8edf0aed09ffeda4a186c97029ad0ee31253bd74db3c97,9,5da43764814502b7fb57e977f10a16fec3fc386b26e1cef13876264c0e6f7cb4,1,7b1790c929438e98909e60e7eef456ff3ed93816286e99101534a5c096dfaacb,fail,cross_boundary_token,2,,0,0,0,0,,1,,
